"species","lat","lon"
"Bertholletia excelsa",-0.40315,-52.2184
"Bertholletia excelsa",-0.35059,-52.32025
"Bertholletia excelsa",-0.35071,-52.3204
"Bertholletia excelsa",-0.35052,-52.32074
"Bertholletia excelsa",-0.35028,-52.32141
"Bertholletia excelsa",-0.35048,-52.32156
"Bertholletia excelsa",-0.35058,-52.32258
"Bertholletia excelsa",-0.35044,-52.32229
"Bertholletia excelsa",-0.35044,-52.32167
"Bertholletia excelsa",-0.35058,-52.3217
"Bertholletia excelsa",-0.35059,-52.32155
"Bertholletia excelsa",-0.35069,-52.3213
"Bertholletia excelsa",-0.35074,-52.32115
"Bertholletia excelsa",-0.3506,-52.32048
"Bertholletia excelsa",-0.3507,-52.32029
"Bertholletia excelsa",-0.35104,-52.32026
"Bertholletia excelsa",-0.35067,-52.32089
"Bertholletia excelsa",-0.35084,-52.321
"Bertholletia excelsa",-0.35081,-52.3221
"Bertholletia excelsa",-0.35079,-52.32254
"Bertholletia excelsa",-0.35106,-52.32209
"Bertholletia excelsa",-0.351,-52.32119
"Bertholletia excelsa",-0.35114,-52.32115
"Bertholletia excelsa",-0.35099,-52.3205
"Bertholletia excelsa",-0.35131,-52.32031
"Bertholletia excelsa",-0.35151,-52.32022
"Bertholletia excelsa",-0.35131,-52.32029
"Bertholletia excelsa",-0.35134,-52.32029
"Bertholletia excelsa",-0.35147,-52.32071
"Bertholletia excelsa",-0.35137,-52.32068
